book_id,author_id,category_id,cover,created_at,description,is_free,is_member_only,is_published,isbn,price,publish_date,publisher,rating,read_count,tags,title,updated_at,word_count
1,1,2,1_cover.jpeg,2026-01-11 17:16:56,,true,false,true,,0,2011-12-31T16:00:00+00:00,上海人民出版社,0,0,,2666,2026-01-11 17:16:56,74760
2,2,2,2_cover.jpg,2026-01-11 17:16:56,,true,false,true,,0,2015,,0,0,,一个无政府主义者的意外死亡,2026-01-11 17:16:56,5005
3,3,2,3_cover.jpeg,2026-01-11 17:16:56,,true,false,true,,0,2022-01-31T16:00:00+00:00,浙江教育出版社,0,0,,一间自己的房间（磨铁经典）【激发女性觉醒的经典之作！知名女性主义学者、《阁楼上的疯女人》作者之一苏珊·古巴作2万字导读！全新译本补充5万余字注释，帮助你真正读懂本书！】 (磨铁经典第一辑：发光的女性),2026-01-11 17:16:56,36117
4,4,2,4_cover.jpeg,2026-01-11 17:16:56,,true,false,true,9787551821889,0,2020-06-30T16:00:00+00:00,三秦出版社,0,0,,三国演义（易中天推荐版本。以毛本为底本，结合嘉靖本、史书综合汇校，恢复罗贯中原笔文字，收录毛批，53幅地图了解战争全貌。附《三国群英谱》） (果麦精编四大名著 2),2026-01-11 17:16:56,135220
5,5,2,5_cover.jpeg,2026-01-11 17:16:56,,true,false,true,,0,0101-01-01T00:00:00+00:00,,0,0,,两地书,2026-01-11 17:16:56,74124
6,6,2,6_cover.jpeg,2026-01-11 17:16:56,,true,false,true,,0,2012-03-22T08:25:32+00:00,,0,0,,中国人,2026-01-11 17:16:56,131724
7,7,2,7_cover.jpeg,2026-01-11 17:16:56,,true,false,true,,0,2016-10-31T16:00:00+00:00,长江文艺出版社,0,0,,亲爱的提奥：梵高传,2026-01-11 17:16:56,93476
8,8,2,8_cover.jpeg,2026-01-11 17:16:56,,true,false,true,9787544720854,0,2018-12-24T16:00:00+00:00,译林出版社,0,0,,佩德罗巴拉莫,2026-01-11 17:16:56,11555
9,9,2,9_cover.jpeg,2026-01-11 17:16:56,,true,false,true,9787530211168,0,2012-06-04T16:00:00+00:00,北京十月文艺出版社,0,0,,倾城之恋（张爱玲巅峰之作，一本书了解她的文学魅力）,2026-01-11 17:16:56,45496
10,10,2,10_cover.jpeg,2026-01-11 17:16:56,"《写在人生边上》，散文集，钱锺书著。写于四十年代。
　　钱先生曾谦虚地说他的这几篇散文不过是如同中国旧书上的眉批，补的是人生这部大书的空白。本书由杨绛女士编定，上海开明书店一九四一年初版，历时半个世纪再次以单行本形式发行，薄薄的一册，却也是补书架、旅途上的空白。
　　这本散文集收录的散文语言幽默，见解独到精辟，行文一气呵成，更是旁征博引，极富哲理。
　　这个集子里的文章，有几篇是发表过的，曾和孙大雨、戴望舒、沈从文、孙毓棠各位先生所主编或筹备的刊物有过关系。
　　陈麟瑞、李健吾两先生曾将全书审阅一遍，并且在出版和印刷方面，不吝惜地给予了帮助。
　　作者远客内地，由杨绛女士在上海收拾、挑选、编定这几篇散文，成为一集。
　　愿他们几位不嫌微末底接受作者的感谢。",true,false,true,,0,2011-06-05T16:00:00+00:00,,0,0,,写在人生边上,2026-01-11 17:16:56,28456
