book_id,author_id,category_id,cover,created_at,description,is_free,is_member_only,is_published,isbn,price,publish_date,publisher,rating,read_count,tags,title,updated_at,word_count
1,1,2,,2026/1/10 14:50,《2666》是一本优秀的文学类书籍。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9787507042110,0,2011-12-31T16:00:00+00:00,上海人民出版社,59.26,245,"文学,小说",2666,2026/1/10 14:50,74760
2,2,2,,2026/1/10 14:50,《一个无政府主义者的意外死亡》为读者提供了关于文学的深入见解和实用指导。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9780436007546,0,2015,长江文艺出版社,94.67,677,"文学,小说,一个无政,府主义者",一个无政府主义者的意外死亡,2026/1/10 14:50,5005
3,3,2,,2026/1/10 14:50,这是一本值得一读的文学类图书，内容丰富，观点独到。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9787226625401,0,2022-01-31T16:00:00+00:00,浙江教育出版社,82.08,44,"文学,小说,一间自己,的房间作",一间自己的房间（磨铁经典）【激发女性觉醒的经典之作！知名女性主义学者、《阁楼上的疯女人》作者之一苏珊·古巴作2万字导读！全新译本补充5万余字注释，帮助你真正读懂本书！】 (磨铁经典第一辑：发光的女性),2026/1/10 14:50,36117
4,4,2,,2026/1/10 14:50,《三国演义）》是一本优秀的文学类书籍。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9787551821889,0,2020-06-30T16:00:00+00:00,三秦出版社,99.3,400,"文学,小说,三国演义",三国演义（易中天推荐版本。以毛本为底本，结合嘉靖本、史书综合汇校，恢复罗贯中原笔文字，收录毛批，53幅地图了解战争全貌。附《三国群英谱》） (果麦精编四大名著 2),2026/1/10 14:50,135220
5,5,2,,2026/1/10 14:50,本书是鲁迅;景宋的经典作品，深入探讨了文学领域的相关问题。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9787666542617,0,2009-12-17T00:00:00+00:00,作家出版社,63.27,333,"文学,小说,两地书",两地书,2026/1/10 14:50,74124
6,6,2,,2026/1/10 14:50,《中国人》涵盖了文学领域的核心内容，适合相关读者阅读。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9787931439589,0,2012-03-22T08:25:32+00:00,译林出版社,57.96,669,"文学,小说,中国人",中国人,2026/1/10 14:50,131724
7,7,2,,2026/1/10 14:50,《亲爱的提奥：梵高传》是一本优秀的文学类书籍。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9780947062310,0,2016-10-31T16:00:00+00:00,长江文艺出版社,66.61,690,"文学,小说,亲爱的提,梵高传",亲爱的提奥：梵高传,2026/1/10 14:50,93476
8,8,2,,2026/1/10 14:50,这是一本值得一读的文学类图书，内容丰富，观点独到。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9787544720854,0,2018-12-24T16:00:00+00:00,译林出版社,58.73,74,"文学,小说,佩德罗巴,拉莫",佩德罗巴拉莫,2026/1/10 14:50,11555
9,9,2,,2026/1/10 14:50,《倾城之恋》是一本优秀的文学类书籍。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9787530211168,0,2012-06-04T16:00:00+00:00,北京十月文艺出版社,86.78,411,"文学,小说,倾城之恋",倾城之恋（张爱玲巅峰之作，一本书了解她的文学魅力）,2026/1/10 14:50,45496
10,10,2,,2026/1/10 14:50,"《写在人生边上》，散文集，钱锺书著。写于四十年代。
　　钱先生曾谦虚地说他的这几篇散文不过是如同中国旧书上的眉批，补的是人生这部大书的空白。本书由杨绛女士编定，上海开明书店一九四一年初版，历时半个世纪再次以单行本形式发行，薄薄的一册，却也是补书架、旅途上的空白。
　　这本散文集收录的散文语言幽默，见解独到精辟，行文一气呵成，更是旁征博引，极富哲理。
　　这个集子里的文章，有几篇是发表过的，曾和孙大雨、戴望舒、沈从文、孙毓棠各位先生所主编或筹备的刊物有过关系。
　　陈麟瑞、李健吾两先生曾将全书审阅一遍，并且",1,0,1,9780190321828,0,2011-06-05T16:00:00+00:00,上海译文出版社,85.72,98,现代·当代,写在人生边上,2026/1/10 14:50,28456
11,11,2,,2026/1/10 14:50,《北京法源寺》为读者提供了关于文学的深入见解和实用指导。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9780013872682,0,2011-11-30T16:00:00+00:00,时代文艺出版社,79.16,143,"文学,小说,北京法源",北京法源寺 (李敖五十年唯一自选集),2026/1/10 14:50,87641
12,12,2,,2026/1/10 14:50,本书是卜伽丘(Giovanni Boccaccio)的经典作品，深入探讨了文学领域的相关问题。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9780626245427,0,2010-07-31T16:00:00+00:00,上海译文出版社,97.96,720,"文学,小说,十日谈",十日谈(套装上下册) (译文名著精选),2026/1/10 14:50,159951
13,13,2,,2026/1/10 14:50,《南方高速作者的文学偶像，马尔克斯、聂鲁达、萨拉马戈、莫言、略萨5位诺奖得主推崇！安东尼奥尼、王家卫爱重！）》是一本优秀的文学类书籍。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9780794966068,0,2017-09-30T16:00:00+00:00,长江文艺出版社,60.04,923,"文学,小说,南方高速,作者的文",南方高速（《百年孤独》作者的文学偶像，马尔克斯、聂鲁达、萨拉马戈、莫言、略萨5位诺奖得主推崇！安东尼奥尼、王家卫爱重！）,2026/1/10 14:50,87057
14,14,2,,2026/1/10 14:50,《呐喊》涵盖了文学领域的核心内容，适合相关读者阅读。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9787544729031,0,2014-03-31T16:00:00+00:00,译林出版社,99.52,299,"文学,小说,呐喊",呐喊 (经典译林),2026/1/10 14:50,73152
15,15,2,,2026/1/10 14:50,《呼兰河传》为读者提供了关于文学的深入见解和实用指导。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9787335542890,0,May-11,湖南文艺出版社,72.87,473,"文学,小说,呼兰河传",呼兰河传,2026/1/10 14:50,40997
16,16,2,,2026/1/10 14:50,<p class="description">在《哭泣的骆驼》，三毛依然恋恋着墨沙漠生活周遭的人与事，《收魂记》、《大胡子与我》等情趣盎然，《沙巴军曹》等所刻画的主角给人留下了难以磨灭的印象，而压轴的《哭泣的骆驼》以游击战事为背景，细细铺写了一对沙漠情侣的生死盟……</p>,1,0,1,9780126646465,0,2010-02-11T16:00:00+00:00,上海译文出版社,60.68,846,现代·当代,哭泣的骆驼,2026/1/10 14:50,45795
17,17,2,,2026/1/10 14:50,《围城》为读者提供了关于文学的深入见解和实用指导。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9780941506787,0,2017-06-30T16:00:00+00:00,人民文学出版社,69.37,514,"文学,小说,围城",围城（爱熄灭了灯，心围一座城。出版七十周年纪念版）,2026/1/10 14:50,52772
18,18,2,,2026/1/10 14:50,本书是肯·福莱特的经典作品，深入探讨了文学领域的相关问题。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9780742810033,0,2018/8/1,长江文艺出版社,77.93,854,"文学,小说,圣殿春秋,作者肯",圣殿春秋（全3册）(半个地球都在通宵读！《巨人的陨落》作者肯·福莱特《中世纪三部曲》第一部，一部小说写活中世纪史！）,2026/1/10 14:50,101020
19,14,2,,2026/1/10 14:50,《坟》是一本优秀的文学类书籍。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9780261265534,0,2016-12-31T16:00:00+00:00,阅览文化,64,877,"文学,小说",坟,2026/1/10 14:50,30419
20,19,2,,2026/1/10 14:50,《家》涵盖了文学领域的核心内容，适合相关读者阅读。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9787924489317,0,2007-09-30T16:00:00+00:00,人民文学出版社,62.53,747,"文学,小说",家（巴金代表作，激流三部曲之一，一九三三年开明书店初版，一九五三年人民文学出版社首版，传读八十余载的文学经典） (中国现代长篇小说藏本),2026/1/10 14:50,196529
21,20,2,,2026/1/10 14:50,《小妇人》为读者提供了关于文学的深入见解和实用指导。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9787239342076,0,2012-02-29T16:00:00+00:00,上海译文出版社,74.36,133,"文学,小说,小妇人",小妇人(译文名著精选),2026/1/10 14:50,217386
22,21,2,,2026/1/10 14:50,本书是（英）肯?福莱特 Ken Follett的经典作品，深入探讨了文学领域的相关问题。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9780000406037,0,2016-04-30T16:00:00+00:00,上海译文出版社,99,736,"文学,小说,巨人的陨",巨人的陨落 (碾压全球畅销榜的伟大故事，全球每三秒卖出一本！)(世界是属于勇敢者的，所以世界是属于我的。)(共3册) (读客全球顶级畅销小说文库 258),2026/1/10 14:50,203229
23,9,2,,2026/1/10 14:50,《金锁记》是一本优秀的文学类书籍。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9787847688462,0,2010-05-06T16:00:00+00:00,上海译文出版社,72.83,650,"文学,小说,金锁记",金锁记,2026/1/10 14:50,5162
24,22,2,,2026/1/10 14:50,这是一本值得一读的文学类图书，内容丰富，观点独到。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9787563361521,0,2016-12-31T16:00:00+00:00,译林出版社,67.9,913,"文学,小说,我的天才,女友",我的天才女友,2026/1/10 14:50,99149
25,23,2,,2026/1/10 14:50,《严歌苓作品集:扶桑》涵盖了文学领域的核心内容，适合相关读者阅读。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9787003278113,0,2010-11-30T16:00:00+00:00,陕西师范大学出版社,58.23,445,"文学,小说,严歌苓作,品集",严歌苓作品集:扶桑,2026/1/10 14:50,40823
26,16,2,,2026/1/10 14:50,本书是三毛的经典作品，深入探讨了文学领域的相关问题。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,978-7-5302-1111-3,0,2020/6/11,北京十月文艺出版社,96.21,489,"文学,小说,撒哈拉的,故事",撒哈拉的故事（三毛全集·02）,2026/1/10 14:50,104299
27,24,2,,2026/1/10 14:50,《文化苦旅》为读者提供了关于文学的深入见解和实用指导。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9780742174213,0,2009-12-31T16:00:00+00:00,东方出版中心,56.58,486,"文学,小说,文化苦旅",文化苦旅,2026/1/10 14:50,156442
28,25,2,,2026/1/10 14:50,《朱生豪情书全集》涵盖了文学领域的核心内容，适合相关读者阅读。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9780782026685,0,2012-01-31T16:00:00+00:00,中国青年出版社,80.23,572,"文学,小说,朱生豪情,书全集",朱生豪情书全集 (新青年文库?名家名作手稿珍藏本系列),2026/1/10 14:50,28739
29,26,2,,2026/1/10 14:50,本书是王小波的经典作品，深入探讨了文学领域的相关问题。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9780321421321,0,2010-03-31T16:00:00+00:00,陕西师范大学出版社,56.52,633,"文学,小说,沉默的大,多数",沉默的大多数 (王小波作品系列),2026/1/10 14:50,119785
30,27,2,,2026/1/10 14:50,《湘行散记》涵盖了文学领域的核心内容，适合相关读者阅读。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9787741006607,0,2010-12-07T16:00:00+00:00,"湖北长江出版集团,长江文艺出版社",75.12,105,"文学,小说,湘行散记",湘行散记 (名家散文经典),2026/1/10 14:50,75219
31,26,2,,2026/1/10 14:50,《爱你就像爱生命》为读者提供了关于文学的深入见解和实用指导。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9780400593056,0,2017-08-31T16:00:00+00:00,北京十月文艺出版社,97.94,556,"文学,小说,爱你就像,爱生命",爱你就像爱生命（李银河独家授权，亲自校订全稿。朱一龙夏日推荐书单，独家首次曝光王小波写在五线谱上的情书和亲笔书信照片。）,2026/1/10 14:50,39511
32,28,2,,2026/1/10 14:50,本书是（哥伦比亚）加西亚·马尔克斯 著 范晔 译的经典作品，深入探讨了文学领域的相关问题。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9787224935673,0,2014-07-07T16:00:00+00:00,译林出版社,64.56,29,"文学,小说,百年孤独",百年孤独,2026/1/10 14:50,103169
33,29,2,,2026/1/10 14:50,《看不见的城市》是一本优秀的文学类书籍。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9787544722278,0,2012-03-31T16:00:00+00:00,译林出版社,62.84,832,"文学,小说,看不见的,城市",看不见的城市（王小波师承、珍藏、最爱的作家，超现实主义的幻想大师！约翰?厄普代克、安伯托?艾柯、莫言、梁文道、苏童、朱天文、唐诺、止庵盛赞！豆瓣4万读者9.0+分评价！） (卡尔维诺经典),2026/1/10 14:50,36698
34,30,2,,2026/1/10 14:50,《神曲全译本 理想国出品）》为读者提供了关于文学的深入见解和实用指导。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9780895624181,0,2021-08-31T16:00:00+00:00,人民文学出版社,52.89,422,"文学,小说,神曲全译,理想国出",神曲（全三册）（知名翻译家黄国彬意大利语原文直译，华语世界首部三韵体《神曲》全译本 理想国出品）,2026/1/10 14:50,197684
35,31,2,,2026/1/10 14:50,这是一本值得一读的文学类图书，内容丰富，观点独到。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9780747159804,0,2018-08-05T16:00:00+00:00,长江文艺出版社,71.74,995,"文学,小说,竹林的故",竹林的故事,2026/1/10 14:50,55484
36,32,2,,2026/1/10 14:50,这是一本值得一读的文学类图书，内容丰富，观点独到。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9780005114799,0,2013-12-31T16:00:00+00:00,上海译文出版社,90.88,717,"文学,小说,第二性",第二性（合卷本）,2026/1/10 14:50,127274
37,33,2,,2026/1/10 14:50,本书是略萨的经典作品，深入探讨了文学领域的相关问题。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9787748997512,0,2017-02-19T00:00:00+00:00,北京十月文艺出版社,55.94,246,"文学,小说,给青年小,说家的信",给青年小说家的信,2026/1/10 14:50,55492
38,34,2,,2026/1/10 14:50,《给青年的十二封信--国民阅读经典》为读者提供了关于文学的深入见解和实用指导。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9787519710404,0,2013-10-31T16:00:00+00:00,中华书局,64.14,907,"文学,小说,给青年的,十二封信",给青年的十二封信（精）--国民阅读经典,2026/1/10 14:50,57389
39,35,2,,2026/1/10 14:50,这是一本值得一读的文学类图书，内容丰富，观点独到。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9787065440665,0,2016/1/1,北京十月文艺出版社,82.88,257,"文学,小说,给青年诗,人的信",给青年诗人的信,2026/1/10 14:50,59818
40,36,2,,2026/1/10 14:50,本书是普里莫·莱维的经典作品，深入探讨了文学领域的相关问题。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9780226634292,0,2019-01-31T16:00:00+00:00,北京十月文艺出版社,90.73,907,"文学,小说,被淹没与,被拯救的",被淹没与被拯救的,2026/1/10 14:50,54045
41,27,2,,2026/1/10 14:50,《边城》是一本优秀的文学类书籍。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9787533927585,0,2010-02-28T16:00:00+00:00,作家出版社,64.04,306,儿童文学-长篇小说-中国-当代,边城,2026/1/10 14:50,74936
42,37,2,,2026/1/10 14:50,这是一本值得一读的文学类图书，内容丰富，观点独到。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9780783493452,0,2006-04-30T16:00:00+00:00,译林出版社,76.88,668,"文学,小说,追风筝的",追风筝的人,2026/1/10 14:50,115594
43,38,2,,2026/1/10 14:50,<p>这是一本“自由女性”安娜的成长记录，由一个故事、五本笔记构成。通过这部“跨国度的百科全书”，莱辛描摹了整个表面平平淡淡、骨子里混乱无序的世界。每部分之间依次插入黑、红、黄、蓝四种笔记，涉及殖民主义、种族主义与男女间的爱情，兼具感情与知性。莱辛曾声称，《金色笔记》是“一次突破形式的尝试，一次突破某些意识观念并予以超越的尝试。”</p>,1,0,1,9780633865056,0,2008-04-30T16:00:00+00:00,译林出版社,68.41,283,"外国文学,长篇小说",金色笔记(典藏本)(百读文库),2026/1/10 14:50,74691
44,39,2,,2026/1/10 14:50,《长安十二时辰》涵盖了文学领域的核心内容，适合相关读者阅读。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9787667850238,0,2016-12-31T16:00:00+00:00,译林出版社,75.81,299,"文学,小说,长安十二,时辰",长安十二时辰（上下册）,2026/1/10 14:50,124149
45,40,2,,2026/1/10 14:50,本书是阿城的经典作品，深入探讨了文学领域的相关问题。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9787542664730,0,2019-04-04T16:00:00+00:00,上海三联书店,87.95,523,"文学,小说,闲话闲说,中国世俗",闲话闲说：中国世俗与中国小说（出版二十周年纪念版）,2026/1/10 14:50,11612
46,41,2,,2026/1/10 14:50,本书是[阿根廷]豪尔赫·路易斯·博尔赫斯的经典作品，深入探讨了文学领域的相关问题。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9780590775098,0,Jun-15,上海译文出版社,52.35,672,"文学,小说,阿莱夫",阿莱夫,2026/1/10 14:50,66696
47,42,2,,2026/1/10 14:50,这是一本值得一读的文学类图书，内容丰富，观点独到。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9787126589630,0,2011-08-31T16:00:00+00:00,陕西师范大学出版总社有限公司,74.39,290,"文学,小说,雷雨",雷雨 (曹禺经典戏剧集),2026/1/10 14:50,32459
48,43,2,,2026/1/10 14:50,这是一本值得一读的文学类图书，内容丰富，观点独到。文笔优美，情节引人入胜，是一部不可多得的文学作品。,1,0,1,9780502184946,0,2020-03-31T16:00:00+00:00,上海译文出版社,89.51,369,"文学,小说,鞋带,暴露婚姻",鞋带【上海译文出品！意大利版《婚姻故事》，暴露婚姻生活压抑和疼痛，直击生活痛点，那不勒斯四部曲译者最新译作】,2026/1/10 14:50,25984
